datasource,flavor,nb entities,nb variables,import duration in ms,import duration,vector read duration in ms,vector read duration,delete duration in ms,delete duration
jdbc,mysql,100,100,4319,4 seconds and 319 milliseconds,2 milliseconds,2,1,1 millisecond
jdbc,mysql,1000,100,2875,2 seconds and 875 milliseconds,0 milliseconds,0,0,0 milliseconds
jdbc,hsql,100,100,769,769 milliseconds,0 milliseconds,0,0,0 milliseconds
jdbc,hsql,1000,100,432,432 milliseconds,0 milliseconds,0,0,0 milliseconds
hibernate,mysql,100,100,4072,4 seconds and 72 milliseconds,1 millisecond,1,349,349 milliseconds
hibernate,mysql,1000,100,21909,21 seconds and 909 milliseconds,1 millisecond,1,2152,2 seconds and 152 milliseconds
hibernate,hsql,100,100,93725,1 minute, 33 seconds and 725 milliseconds,1 millisecond,1,158,158 milliseconds
hibernate,hsql,1000,100,2126589,35 minutes, 26 seconds and 589 milliseconds,1 millisecond,1,7215,7 seconds and 215 milliseconds
mongo,,100,100,484,484 milliseconds,21 milliseconds,21,983,983 milliseconds
mongo,,1000,100,1830,1 second and 830 milliseconds,68 milliseconds,68,84,84 milliseconds
